Active,Agency,BraillePlates,City,CityCount,City_Related,CopyQuantity,Delivery,DeliveryCount,DescripNotes,FarePanel,Field 76,InternalNotes,LastPrintedLookup,LastSurveyedLookup,MonthPrinted,MonthPrintedCount,NonStopCity,NonStopLocation,Note600s,OverrideEffDate,PhoneID,ShelterNum,Sidenote,SignClassification,SignClassificationCount,SignEventCodeM,SignEventCodeP,SignEventCodeS,SignID,SignType,SignTypeCount,Status,StopDescription,Stop_id_suffix,Stops_CityF_Lookup,TIDFile,Tag,TempFlag,UNIQUEID,UseOldMakepoints,stp_511_id
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2019-06-06,2011-04-01,2020-08,2603,,,No,,51727,,,Polesign,2630,M,P,S,368,R22,2630,OK,"Buena Vista Ave. at Park St., Alameda, FS W",,Alameda,,,No,9904080,No,51727
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2019-06-06,2011-04-01,2021-10,2603,,,No,,51525,,,Polesign,2630,M,P,S,39,R22,2630,OK,"Buena Vista Ave. at Sherman St., Alameda, FS E",,Alameda,,,No,0100730,No,51525
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2019-06-06,2011-04-01,2020-08,2603,,,No,,52304,,,Polesign,2630,M,P,S,40,R22,2630,OK,"Sherman St. at Buena Vista Ave., Alameda, FS",,Alameda,,,No,9905830,No,52304
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2019-06-06,2011-04-01,2021-10,2603,,,No,,59771,,,Polesign,2630,M,P,S,41,R22,2630,OK,"Buena Vista Ave. at Walnut St., Alameda, FS E",,Alameda,,,No,0100760,No,59771
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2019-06-06,2011-04-01,2020-08,2603,,,No,,56722,,,Polesign,2630,M,P,S,42,R22,2630,OK,"Buena Vista Ave. at Walnut St., Alameda, FS W",,Alameda,,,No,0100770,No,56722
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,632,2020-08-09,2009-11-24,2021-12,2603,,,Yes,,54233,,,Polesign,2630,M,P,S,43,R22,2630,OK,"Central Ave. at 8th St., Alameda, FS W",,Alameda,,F22,No,0100860,No,54233
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,CN 3/2019,2020-08-09,2009-11-24,2021-12,2603,,,Yes,,54330,,,Polesign,2630,M,P,S,126,R22,2630,OK,"Central Ave. at 8th St., Alameda, NS E",,Alameda,,F22,No,0100870,No,54330
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,CN 3/2019,2020-08-09,2009-11-23,2021-12,2603,,,Yes,,53365,,,Polesign,2630,M,P,S,46,R22,2630,OK,"Central Ave. at Webster St., Alameda, FS E",,Alameda,,F22,No,0100960,No,53365
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,CN 3/2017,2019-06-06,2006-10-09,2020-08,2603,,,No,,58996,,,Polesign,2630,M,P,S,48,R22,2630,OK,"Challenger Dr. at Atlantic Ave., Alameda, FS N",,Alameda,,,No,0100970,No,58996
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,CN 4/2017,2019-06-06,2006-10-09,2021-10,2603,,,No,,55430,,,Polesign,2630,M,P,S,1360,R22,2630,OK,"Challenger Dr. at Marina Village Parkway, Alameda, FS S",,Alameda,,,No,0102000,No,55430
Sort of,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2019-06-06,2010-03-22,2019-12,2603,,,Yes,,56340,,,Polesign,2630,M,P,S,1707,R22,2630,To remove,"Encinal Ave. at Fountain St., Alameda, NS N",,Alameda,,R22Susp,No,0101070,No,56340
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2020-08-09,2010-03-22,2020-08,2603,,,Yes,,56733,,,Polesign,2630,M,P,S,1708,R22,2630,OK,"Encinal Ave. at Mound St., Alameda, NS W",,Alameda,,,No,0101120,No,56733
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2020-08-09,2009-11-23,2020-08,2603,,,Yes,,51144,,,Polesign,2630,M,P,S,713,R22,2630,OK,"Encinal Ave. at Park Ave., Alameda, FS E",,Alameda,,,No,0101140,No,51144
Sort of,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2019-06-06,2010-03-22,2019-12,2603,,,Yes,,53531,,,Polesign,2630,M,P,S,714,R22,2630,To remove,"Encinal Ave. at Park Ave., Alameda, NS W",,Alameda,,R22Susp,No,0101130,No,53531
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,CN 3/2018,2020-08-09,2010-03-22,2021-10,2603,,,No,,53466,,,Polesign,2630,M,P,S,1362,R22,2630,OK,"Encinal Ave. at Versailles Ave., Alameda, FS W",,Alameda,,,No,0104400,No,53466
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,CN 3/2018,2020-08-09,2009-11-24,2020-08,2603,,,No,,59334,,,Polesign,2630,M,P,S,1363,R22,2630,OK,"Encinal Ave. at Versailles Ave., Alameda, NS E",,Alameda,,,No,0101170,No,59334
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2020-08-09,2009-11-24,2020-08,2603,,,Yes,,55041,,,Polesign,2630,M,P,S,1709,R22,2630,OK,"Encinal Ave. at Broadway, Alameda, FS N",,Alameda,,,No,0104110,No,55041
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,Needs to be updated - line O is marked in schedules as stopping at this stop in *both* directions (and at the pair stop in no direction). Should only be westbound.,2020-08-09,2010-03-22,2020-08,2603,,,No,,53004,,,Polesign,2630,M,P,S,1705,R22,2630,OK,"Fernside Blvd. at Harvard Dr., Alameda, NS E",,Alameda,,,No,0101240,No,53004
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,Converted to R22 9/18/2014,2020-08-09,2010-03-22,2020-08,2603,,,No,,55879,,,Polesign,2630,M,P,S,51,R22,2630,OK,"Fernside Blvd. at High St., Alameda, NS E",,Alameda,,,No,0101260,No,55879
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2020-08-09,2009-11-24,2020-08,2603,,,No,,59772,,,Polesign,2630,M,P,S,52,R22,2630,OK,"Fernside Blvd. at High St., Alameda, FS W",,Alameda,,,No,0101270,No,59772
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2020-08-09,2010-03-22,2020-08,2603,,,No,,54110,,,Polesign,2630,M,P,S,1704,R22,2630,OK,"Fernside Blvd. at Versailles Ave., Alameda, NS E",,Alameda,,,No,0101300,No,54110
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2020-08-09,2009-11-23,2021-12,2603,,,Yes,,55410,,,Polesign,2630,M,P,S,1622,R22,2630,OK,"Grand St. at Wood Middle School, Alameda, MB N",,Alameda,,F22,No,0101380,No,55410
Sort of,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2019-06-06,2009-04-21,2019-12,2603,,,No,,58511,,,Polesign,2630,M,P,S,359,R22,2630,To remove,"Harbor Bay Ferry Terminal, Alameda, going S",,Alameda,,R22Susp,No,0101480,No,58511
Yes,ACTransit,,Berkeley,1997,Berkeley,1,Polecrew,2630,,,,,2022-01-21,2011-04-01,2022-05,2603,,,No,,55555,,,Polesign,2630,M,P,S,3,R22,2630,OK,"Shattuck Ave. at Allston Way, Berkeley, NS S",,Berkeley,,F22,No,0304790,No,55555
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,Converted to R22 9/18/2014,2020-08-09,2009-11-24,2020-08,2603,,,No,,57780,,,Polesign,2630,M,P,S,53,R22,2630,OK,"High St. at Encinal Ave., Alameda, FS N",,Alameda,,,No,0101560,No,57780
Yes,ACTransit,,Alameda,1997,Alameda,1,AlaCity,2630,,,,At pole sign 54,2020-08-09,2009-11-24,2020-08,2603,,,No,,57727,,,Shelter,2630,M,P,S,1345,S4,2630,OK,"High St. at Encinal Ave., Alameda, NS S",,Alameda,,,No,0101570,No,57727
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2020-08-09,2009-11-24,2020-08,2603,,,No,,53114,,,Polesign,2630,M,P,S,726,R22,2630,OK,"High St. at Fairview Ave., Alameda, NS N",,Alameda,,,No,0101580,No,53114
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2020-08-09,2010-03-22,2020-08,2603,,,No,,58662,,,Polesign,2630,M,P,S,727,R22,2630,OK,"High St. at Fairview Ave., Alameda, NS S",,Alameda,,,No,0101590,No,58662
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2019-06-06,2010-03-22,2020-08,2603,,,Yes,,51021,,,Polesign,2630,M,P,S,55,R22,2630,OK,"High St. at Otis Dr., Alameda, NS S",,Alameda,,,No,0101620,No,51021
Sort of,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2019-06-06,2010-03-22,2019-12,2603,,,No,,55235,,,Polesign,2630,M,P,S,1714,R22,2630,To remove,"High St. at San Jose Ave., Alameda, NS N",,Alameda,,R22Susp,No,0101640,No,55235
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2019-06-06,2010-03-22,2020-08,2603,,,Yes,,51065,,,Polesign,2630,M,P,S,1803,R22,2630,OK,"High St. at San Jose Ave., Alameda, NS S",,Alameda,,,No,0101650,No,51065
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2020-08-09,2009-11-24,2020-08,2603,,,No,,57720,,,Polesign,2630,M,P,S,56,R22,2630,OK,"High St. at Santa Clara Ave., Alameda, NS N",,Alameda,,,No,0101670,No,57720
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,Converted to R22 9/18/2014,2020-08-09,2010-03-22,2020-08,2603,,,No,,51134,,,Polesign,2630,M,P,S,57,R22,2630,OK,"High St. at Santa Clara Ave., Alameda, NS S",,Alameda,,,No,0101660,No,51134
Yes,ACTransit,,Berkeley,1997,Berkeley,1,Polecrew,2630,,,,,2022-01-21,2009-10-13,2022-05,2603,,,No,,57225,,,Polesign,2630,M,P,S,1713,R22,2630,OK,"Shattuck Ave. at Virginia St., Berkeley, NS N",,Berkeley,,F22,Yes,0305080,No,57225
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2020-08-09,2010-01-19,2022-01,2603,,,Yes,,58815,,,Polesign,2630,M,P,S,7,R22,2630,OK,"Island Dr. Park and Ride, Alameda, going N",,Alameda,,F22,No,0101750,No,58815
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,Converted to R22 9/18/2014,2020-08-09,2009-11-24,2021-12,2603,,,Yes,,58663,,,Polesign,2630,M,P,S,8,R22,2630,OK,"Island Dr. Park and Ride, Alameda, FS S",,Alameda,,F22,No,0101720,No,58663
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2019-06-06,2009-11-16,2021-12,2603,,,No,,50557,,,Polesign,2630,M,P,S,703,R22,2630,OK,"Lincoln Ave. at 5th St., Alameda, FS E",,Alameda,,,No,0101770,No,50557
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2019-06-06,2009-11-16,2021-12,2603,,,Yes,,55178,,,Polesign,2630,M,P,S,704,R22,2630,OK,"Lincoln Ave. at 5th St., Alameda, NS W",,Alameda,,,No,0101780,No,55178
Yes,ACTransit,,Oakland,1997,Oakland,1,Polecrew,2630,,,,,2021-12-06,2009-11-03,2022-05,2603,,,No,,58894,,,Polesign,2630,M,P,S,723,R22,2630,OK,"7th St. at Jackson St., Oakland, FS E",,Oakland,,F22,No,1003500,No,58894
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,CN 3/2019,2019-06-06,2009-11-16,2021-12,2603,,,Yes,,57737,,,Polesign,2630,M,P,S,59,R22,2630,OK,"Lincoln Ave. at Webster St., Alameda, FS W",,Alameda,,,No,0101820,No,57737
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,Shelter with map case added 11/21,2019-06-06,2009-11-17,2021-12,2603,,,No,,55363,,,Polesign,2630,M,P,S,60,R22,2630,OK,"Main St. at Atlantic Ave., Alameda, FS S",,Alameda,,Newmap,No,0101830,No,55363
Sort of,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,Another ex-Alameda sign restored as XBayPole,2019-06-06,2010-03-22,2019-12,2603,,,Yes,,56706,,,Polesign,2630,M,P,S,10,R22,2630,To remove,"Maitland Dr. at Island Dr., Alameda, NS W",,Alameda,,R22Susp,No,0101940,No,56706
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,Converted to R22 9/18/2014,2019-06-06,2006-10-09,2021-10,2603,,,No,,58321,,,Polesign,2630,M,P,S,61,R22,2630,OK,"1201 Marina Village Parkway, Alameda, FS E",,Alameda,,,No,0101970,No,58321
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,Converted to R22 9/18/2014,2019-06-06,2006-10-09,2020-08,2603,,,No,,57507,,,Polesign,2630,M,P,S,62,R22,2630,OK,"1080 Marina Village Parkway, Alameda, FS W",,Alameda,,,No,0101960,No,57507
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,Converted to R22 9/18/2014,2019-06-06,2006-10-09,2020-08,2603,,,No,,59987,,,Polesign,2630,M,P,S,63,R22,2630,OK,"1250 Marina Village Parkway, Alameda, FS W",,Alameda,,,No,0101980,No,59987
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,Converted to R22 9/18/2014,2019-06-06,2006-10-09,2021-10,2603,,,No,,50116,,,Polesign,2630,M,P,S,64,R22,2630,OK,"947 Marina Village Parkway, Alameda, NS SE",,Alameda,,,No,0101990,No,50116
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2019-06-06,2006-10-09,2020-08,2603,,,No,,57656,,,Polesign,2630,M,P,S,1359,R22,2630,OK,"Marina Village Parkway at Challenger Dr., Alameda, FS NE",,Alameda,,,No,0102010,No,57656
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2019-06-06,2006-10-02,2021-12,2603,,,No,,56716,,,Polesign,2630,M,P,S,65,R22,2630,OK,"Marina Village Parkway at Mariner Square Loop, Alameda, NS E",,Alameda,,,No,0102050,No,56716
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,Changed CN to R22 sometime before Dec. 2013,2020-08-09,2009-04-21,2022-01,2603,,,Yes,,58377,,,Polesign,2630,M,P,S,12,R22,2630,OK,"Mecartney Road at Auburn Dr., Alameda, FS W",,Alameda,,F22,No,0102080,No,58377
Sort of,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2019-06-06,2009-04-21,2019-12,2603,,,No,,58910,,,Polesign,2630,M,P,S,14,R22,2630,To remove,"Mecartney Road at Aughinbaugh Way, Alameda, NS W",,Alameda,,R22Susp,No,0102100,No,58910
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2020-08-09,2010-03-22,2021-12,2603,,,Yes,,55049,,,Polesign,2630,M,P,S,16,R22,2630,OK,"Mecartney Road at Island Dr., Alameda, FS E",,Alameda,,F22,No,0104450,No,55049
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,Another former Alameda City sign,2020-08-09,2010-03-22,2021-12,2603,,,Yes,,59949,,,Polesign,2630,M,P,S,17,R22,2630,OK,"Mecartney Road at Melrose Ave., Alameda, NS E (Maitland Dr.)",,Alameda,,F22,No,0102230,No,59949
Sort of,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2020-08-09,2009-11-23,2020-08,2603,,,Yes,,57790,,,Polesign,2630,M,P,S,1621,R22,2630,To remove,"Otis Dr. at Arlington Isle, Alameda, FS W",,Alameda,,,No,0102380,No,57790
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2020-08-09,2010-03-22,2022-01,2603,,,No,,50399,,,Polesign,2630,M,P,S,1808,R22,2630,OK,"Otis Dr. at Broadway, Alameda, FS W",,Alameda,,F22,No,0102390,No,50399
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,CN 3/2019,2020-08-09,2009-11-23,2021-12,2603,,,Yes,,52976,,,Polesign,2630,M,P,S,68,R22,2630,OK,"Grand St. at Otis Dr., Alameda, FS S",,Alameda,,F22,No,9907910,No,52976
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,CN 3/2019,2020-08-09,2009-11-23,2021-12,2603,,,Yes,,52975,,,Polesign,2630,M,P,S,69,R22,2630,OK,"Otis Dr. at Grand St., Alameda, FS N",,Alameda,,F22,No,9907900,No,52975
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,CN 4/2018,2020-08-09,2009-11-24,2021-12,2603,,,No,,53770,,,Polesign,2630,M,P,S,707,R22,2630,OK,"Otis Dr. at Bayview Dr., Alameda, NS SE (High St.)",,Alameda,,F22,No,0101630,No,53770
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2020-08-09,2010-03-22,2022-01,2603,,,No,,55393,,,Polesign,2630,M,P,S,708,R22,2630,OK,"Otis Dr. at High St., Alameda, NS NW",,Alameda,,F22,No,0102440,No,55393
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2020-08-09,2009-11-23,2021-12,2603,,,Yes,,52969,,,Polesign,2630,M,P,S,1602,R22,2630,OK,"Otis Dr. at Larchmont Isle, Alameda, MB",,Alameda,,F22,No,9907880,No,52969
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2020-08-09,2010-03-22,2022-01,2603,,,No,,51405,,,Polesign,2630,M,P,S,1806,R22,2630,OK,"Otis Dr. at Mound St., Alameda, NS NW",,Alameda,,F22,No,9903100,No,51405
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2020-08-09,2009-11-24,2021-12,2603,,,No,,50450,,,Polesign,2630,M,P,S,1371,R22,2630,OK,"Otis Dr. at Park St., Alameda, FS E",,Alameda,,F22,No,0102490,No,50450
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,CN 3/2017,2020-08-09,2009-11-24,2021-12,2603,,,No,,53994,,,Polesign,2630,M,P,S,1372,R22,2630,OK,"Otis Dr. at Park St., Alameda, FS W",,Alameda,,F22,No,0102500,No,53994
Sort of,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,CN 5/2017,2019-06-06,2009-11-24,2019-12,2603,,,No,,58344,,,Polesign,2630,M,P,S,1369,R22,2630,To remove,"Otis Dr. at South Shore Ctr, Alameda, FS E",,Alameda,,R22Susp,No,0102530,No,58344
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2019-06-06,2009-11-24,2021-12,2603,,,No,,58817,,,Polesign,2630,M,P,S,1370,R22,2630,OK,"Otis Dr. at South Shore Center, Alameda, going W",,Alameda,,F22,No,0102370,No,58817
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2020-08-09,2009-11-23,2021-12,2603,,,Yes,,51531,,,Polesign,2630,M,P,S,70,R22,2630,OK,"Otis Dr. at Westline Dr., Alameda, FS E",,Alameda,,F22,No,0102560,No,51531
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2020-08-09,2009-11-24,2021-12,2603,,,Yes,,52967,,,Polesign,2630,M,P,S,71,R22,2630,OK,"Westline Dr. at Otis Dr., Alameda, FS N",,Alameda,,F22,No,9907870,No,52967
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,"Alameda Hospital. 50, W",2019-06-06,2009-11-24,2020-08,2603,,,No,,52978,,,Polesign,2630,M,P,S,748,R22,2630,OK,"Willow St. at Sandcreek Way, Alameda, NS S",,Alameda,,,No,9907920,No,52978
Sort of,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,"Changed from T24 to R22 May 18, 2010 --TG",2019-06-06,2009-11-24,2019-12,2603,,,Yes,,51535,,,Polesign,2630,M,P,S,749,R22,2630,To remove,"Otis Dr. at Willow St., Alameda, FS E",,Alameda,,R22Susp,No,0102590,No,51535
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2020-08-09,2010-03-22,2022-01,2603,,,No,,56488,,,Polesign,2630,M,P,S,1718,R22,2630,OK,"Park St. at Blanding Ave., Alameda, NS N",,Alameda,,F22,No,0102680,No,56488
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2020-08-09,2009-11-24,2021-12,2603,,,No,,56658,,,Polesign,2630,M,P,S,725,R22,2630,OK,"Park St. at Buena Vista Ave., Alameda, FS S",,Alameda,,F22,No,0104170,No,56658
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,CN 3/2019,2020-08-09,2010-03-22,2022-01,2603,,,No,,52379,,,Polesign,2630,M,P,S,73,R22,2630,OK,"Park St. at Buena Vista Ave., Alameda, FS N",,Alameda,,F22,No,9905990,No,52379
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,Formerly stop 0102740 - moved across street,2020-08-09,2009-11-24,2021-12,2603,,,No,,51027,,,Polesign,2630,M,P,S,1367,R22,2630,OK,"Park St. at Clement Ave., Alameda, FS S",,Alameda,,F22,No,9902190,No,51027
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,CN 3/2017,2020-08-09,2010-03-22,2022-01,2603,,,No,,56433,,,Polesign,2630,M,P,S,1368,R22,2630,OK,"Park St. at Clement Ave., Alameda, NS N",,Alameda,,F22,No,0102730,No,56433
Yes,ACTransit,,Alameda,1997,Alameda,1,AlaCity,2630,,,,,2018-12-04,2009-11-23,2020-08,2603,,,Yes,,57500,,,Shelter,2630,M,P,S,76,S1,2630,Needs no service sign,"Park St. at Encinal Ave., Alameda, NS N",,Alameda,,,No,0102770,No,57500
Yes,ACTransit,,Alameda,1997,Alameda,1,AlaCity,2630,,,,,2020-08-09,2009-11-23,2022-07,2603,,,No,,51444,,,Shelter,2630,M,P,S,77,S1,2630,OK,"Park St. at Encinal Ave., Alameda, FS S",,Alameda,,F22,No,0104230,No,51444
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2019-06-06,2010-03-22,2022-01,2603,,,No,,54877,,,Polesign,2630,M,P,S,1715,R22,2630,OK,"Park St. at Encinal Ave., Alameda, FS N",,Alameda,,F22,No,0104240,No,54877
Yes,ACTransit,,Oakland,1997,Oakland,1,Polecrew,2630,,,,,2019-06-06,,2021-12,2603,,,No,,56926,,,Polesign,2630,M,P,S,78,R22,2630,OK,"Jackson St. at 3rd St., Oakland, NS N",,Oakland,,F22,No,1013260,No,56926
Yes,ACTransit,,Oakland,1997,Oakland,1,Polecrew,2630,,,,,2021-12-06,2009-10-22,2022-05,2603,,,No,,55711,,,Polesign,2630,M,P,S,79,R22,2630,OK,"Broadway at 9th St., Oakland, FS N",,Oakland,,F22,No,1030330,No,55711
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,Shelter with map case added 11/21,2020-08-09,2009-11-23,2022-01,2603,,,Yes,,57797,,,Polesign,2630,M,P,S,80,R22,2630,OK,"Park St. at Otis Dr., Alameda, FS N",,Alameda,,F22,No,0102820,No,57797
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2020-08-09,2009-11-23,2021-12,2603,,,No,,57537,,,Polesign,2630,M,P,S,81,R22,2630,OK,"Park St. at Otis Dr., Alameda, FS S",,Alameda,,F22,No,0102810,No,57537
Yes,ACTransit,,Alameda,1997,Alameda,1,Polecrew,2630,,,,,2020-08-09,2009-11-23,2021-12,2603,,,No,,58895,,,Polesign,2630,M,P,S,1365,R22,2630,OK,"Park St. at San Jose Ave., Alameda, FS S",,Alameda,,F22,No,0102830,No,58895
