c_abbrev9,c_city,c_description,c_description_len,c_destination,c_temp,cx_description_city,cx_destination_city,h_loca_latitude,h_loca_longitude,h_plc_description,h_plc_district,h_plc_identifier,h_plc_number,h_plc_reference_place,i_abbrev9,i_city,i_description,o_abbrev9,o_city,o_description,o_destination,u_nonpublic,u_plc_notes,ux_usecity_description,ux_usecity_destination
JLSQ FERY,Oakland,Broadway & Embarcadero West,27,Jack London Square,0,"Broadway & Embarcadero West, Oakland","Jack London Square, Oakland",37.7955648,-122.2765326,Broadway & Embarcadero West,10,JLFT,JLSQFERY,,JLSQ FERY,Oakland,Broadway & Embarcadero West,,,Broadway & Embarcadero West,Jack London Square,,,1,1
7TH BDWY,Oakland,7th St. & Broadway,18,Downtown Oakland,0,"7th St. & Broadway, Oakland",Downtown Oakland,37.7990139,-122.2731766,7th St. & Broadway,10,7TBD,7TH BDWY,,7TH BDWY,Oakland,7th St. & Broadway,,,7th St. & Broadway,Downtown Oakland,,,1,
8TH BDWY,Oakland,8th St. & Broadway,18,Downtown Oakland,2,"8th St. & Broadway, Oakland","Downtown Oakland, Oakland",37.8001701,-122.2734792,8th St. & Broadway,10,8TBD,8TH BDWY,,8TH BDWY,Oakland,8th St. & Broadway,,,,Downtown Oakland,,,1,1
9TH BDWY,Oakland,9th St. & Broadway,18,Downtown Oakland,0,"9th St. & Broadway, Oakland",Downtown Oakland,37.8011644,-122.2731877,9th St. & Broadway,10,9TBD,9TH BDWY,,9TH BDWY,Oakland,9th St. & Broadway,,,9th St. & Broadway,Downtown Oakland,,,1,
OAKL AMTR,Oakland,Oakland Amtrak at Jack London Square,36,Oakland Amtrak at Jack London Square,2,Oakland Amtrak at Jack London Square,Oakland Amtrak at Jack London Square,37.7943244,-122.2717008,Oakland Amtrak at Jack London Square,10,OKAM,OAKLAMTR,,OAKL AMTR,Oakland,Oakland Amtrak at Jack London Square,,,Oakland Amtrak at Jack London Square,,,Needs to be distinguished from Oakland Coliseum Amtrak,,0
WEBS EMBA,Oakland,Webster St. & Embarcadero West,30,Jack London Square,1,"Webster St. & Embarcadero West, Oakland",Jack London Square,37.7947255,-122.2741112,Webster St. & Embarcadero West,10,WBEM,WEBSEMBA,,WEBS EMBA,Oakland,Webster St. & Embarcadero West,,,Webster St. & Embarcadero West,Jack London Square,,,1,
10TH BDWY,Oakland,10th St. & Broadway,19,Downtown Oakland,0,"10th St. & Broadway, Oakland",Downtown Oakland,37.8017991,-122.2726312,10th St. & Broadway,10,10BD,10THBDWY,,10TH BDWY,Oakland,10th St. & Broadway,,,,Downtown Oakland,,,1,
10TH WASH,Oakland,10th St. & Washington St.,25,Downtown Oakland,2,"10th St. & Washington St., Oakland",Downtown Oakland,37.8022648,-122.2744780,10th St. & Washington St.,10,10WA,10THWASH,,10TH WASH,Oakland,10th St. & Washington St.,,,,Downtown Oakland,,,1,
11TH BDWY,Oakland,11th St. & Broadway,19,Downtown Oakland,2,"11th St. & Broadway, Oakland",Downtown Oakland,37.8019699,-122.2724263,11th St. & Broadway,10,11BD,11THBDWY,,11TH BDWY,Oakland,11th St. & Broadway,,,,Downtown Oakland,,,1,
11BD-A,Oakland,11th St. & Broadway,19,11th St. & Broadway,0,11th St. & Broadway,11th St. & Broadway,37.8020637,-122.2723668,11th St. & Broadway,10,11BD-A,11THBDWY,11BD,11TH BDWY,Oakland,11th St. & Broadway,11BD-A,,,,,,,
11BD-D,Oakland,11th St. & Broadway,19,11th St. & Broadway,0,11th St. & Broadway,11th St. & Broadway,37.8020637,-122.2723668,11th St. & Broadway,10,11BD-D,11THBDWY,11BD,11TH BDWY,Oakland,11th St. & Broadway,11BD-D,,,,,,,
11TH CLAY,Oakland,11th St. & Clay St.,19,Downtown Oakland,2,"11th St. & Clay St., Oakland",Downtown Oakland,37.8031359,-122.2748847,11th St. & Clay St.,10,11CL,11THCLAY,,11TH CLAY,Oakland,11th St. & Clay St.,,,,Downtown Oakland,,,1,
11TH JEFF,Oakland,11th St. & Jefferson St.,24,Downtown Oakland,2,"11th St. & Jefferson St., Oakland",Downtown Oakland,37.8037513,-122.2761458,11th St. & Jefferson St.,10,11JE,11THJEFF,,11TH JEFF,Oakland,11th St. & Jefferson St.,,,,Downtown Oakland,,,1,
11TH MLKJ,Oakland,11th St. & Martin Luther King Jr. Way,37,Downtown Oakland,2,"11th St. & Martin Luther King Jr. Way, Oakland",Downtown Oakland,37.8039604,-122.2772554,11th St. & Martin Luther King Jr. Way,10,11MK,11THMLKJ,,11TH MLKJ,Oakland,11th St. & Martin Luther King Jr. Way,,,11th St. & Martin Luther King Jr. Way,Downtown Oakland,,,1,0
12TH BDWY,Oakland,12th St. & Broadway,19,Downtown Oakland,2,"12th St. & Broadway, Oakland",Downtown Oakland,37.8029026,-122.2721549,12th St. & Broadway,10,12BD,12THBDWY,,12TH BDWY,Oakland,12th St. & Broadway,,,12th St. & Broadway,Downtown Oakland,,,1,
12TH CLAY,Oakland,12th St. & Clay St.,19,Downtown Oakland,0,"12th St. & Clay St., Oakland",Downtown Oakland,37.8041720,-122.2748889,12th St. & Clay St.,10,12CL,12THCLAY,,12TH CLAY,Oakland,12th St. & Clay St.,,,,Downtown Oakland,,,1,
13TH BROA,Oakland,13th St. & Broadway,19,Downtown Oakland,0,"13th St. & Broadway, Oakland",Downtown Oakland,37.8037924,-122.2716930,13th St. & Broadway,10,13BD,13THBROA,,13TH BROA,Oakland,13th St. & Broadway,,,,Downtown Oakland,,,1,
14TH BDWY,Oakland,14th St. & Broadway,19,Downtown Oakland,2,"14th St. & Broadway, Oakland",Downtown Oakland,37.8041853,-122.2716553,14th St. & Broadway,10,14BD,14THBDWY,,14TH BDWY,Oakland,14th St. & Broadway,,,,Downtown Oakland,,,1,
14BD-A,Oakland,14th St. & Broadway,19,Downtown Oakland,0,14th St. & Broadway,Downtown Oakland,37.8041853,-122.2716553,14th St. & Broadway,10,14BD-A,14THBDWY,14BD,14TH BDWY,Oakland,14th St. & Broadway,14BD-A,,,Downtown Oakland,,,,
14BD-D,Oakland,14th St. & Broadway,19,14th St. & Broadway,0,14th St. & Broadway,14th St. & Broadway,37.8041853,-122.2716553,14th St. & Broadway,10,14BD-D,14THBDWY,14BD,14TH BDWY,Oakland,14th St. & Broadway,14BD-D,,,,,,,
14TH ML.K,Oakland,14th St. & Martin Luther King Jr. Way,37,Downtown Oakland,0,"14th St. & Martin Luther King Jr. Way, Oakland",Downtown Oakland,37.8055486,-122.2763887,14th St. & Martin Luther King Jr. Way,10,14MK,14THML.K,,14TH ML.K,Oakland,14th St. & Martin Luther King Jr. Way,,,14th St. & Martin Luther King Jr. Way,Downtown Oakland,,,1,
17TH JEFF,Oakland,17th St. & Jefferson St.,24,Downtown Oakland,0,"17th St. & Jefferson St., Oakland",Downtown Oakland,37.8076229,-122.2736167,17th St. & Jefferson St.,10,17JE,17THJEFF,,17TH JEFF,Oakland,17th St. & Jefferson St.,,,,Downtown Oakland,,,1,
14TH FKLN,Oakland,Franklin St. & 14th St.,23,Downtown Oakland,1,"Franklin St. & 14th St., Oakland",Downtown Oakland,37.8038484,-122.2699850,Franklin St. & 14th St.,10,14FK,14THFKLN,,14TH FKLN,Oakland,Franklin St. & 14th St.,,,Franklin St. & 14th St.,Downtown Oakland,,,1,
20TH BDWY,Oakland,T.L. Berkley Way (20th St.) & Broadway,38,Uptown Oakland,2,"T.L. Berkley Way (20th St.) & Broadway, Oakland",Uptown Oakland,37.8092288,-122.2686748,T.L. Berkley Way (20th St.) & Broadway,10,20BD,20THBDWY,,20TH BDWY,Oakland,T.L. Berkley Way (20th St.) & Broadway,,,T.L. Berkley Way (20th St.) & Broadway,Uptown Oakland,,,1,
KAIS 21ST,Oakland,21st St. & Kaiser Plaza,23,21st St. & Kaiser Plaza,0,"21st St. & Kaiser Plaza, Oakland","21st St. & Kaiser Plaza, Oakland",37.8096031,-122.2646624,21st St. & Kaiser Plaza,10,KA21,KAIS21ST,,KAIS 21ST,Oakland,21st St. & Kaiser Plaza,,,21st St. & Kaiser Plaza,,,,1,1
KAIS CNTR,Oakland,T.L. Berkley Way (20th St.) & Webster St.,41,T.L. Berkley Way (20th St.) & Webster St.,2,"T.L. Berkley Way (20th St.) & Webster St., Oakland","T.L. Berkley Way (20th St.) & Webster St., Oakland",37.8083235,-122.2657460,T.L. Berkley Way (20th St.) & Webster,10,KCCN,KAISCNTR,,KAIS CNTR,Oakland,T.L. Berkley Way (20th St.) & Webster,,,T.L. Berkley Way (20th St.) & Webster St.,,,,1,1
MRIT BART,Oakland,Lake Merritt BART,17,Lake Merritt BART,2,"Lake Merritt BART, Oakland","Lake Merritt BART, Oakland",37.7973728,-122.2658457,Lake Merritt BART,10,MRBA,MRITBART,,MRIT BART,Oakland,Lake Merritt BART,,,Lake Merritt BART,,,,1,1
14TH FTHL,Oakland,14th Ave. & Foothill Blvd.,26,14th Ave. & Foothill Blvd.,2,"14th Ave. & Foothill Blvd., Oakland","14th Ave. & Foothill Blvd., Oakland",37.7916739,-122.2428808,14th Ave. & Foothill Blvd.,10,14FT,14THFTHL,,14TH FTHL,Oakland,14th Ave. & Foothill Blvd.,,,14th Ave. & Foothill Blvd.,,,,1,1
E7TH KNDY,Oakland,East 7th St. & Kennedy St.,26,East 7th St. & Kennedy St.,0,"East 7th St. & Kennedy St., Oakland","East 7th St. & Kennedy St., Oakland",37.7754054,-122.2400722,East 7th St. & Kennedy St.,10,E7KN,E7THKNDY,,E7TH KNDY,Oakland,East 7th St. & Kennedy St.,,,East 7th St. & Kennedy St.,,,,1,1
1ST E.14,Oakland,1st Ave. & International Blvd.,30,1st Ave. & International Blvd.,2,"1st Ave. & International Blvd., Oakland","1st Ave. & International Blvd., Oakland",37.7989306,-122.2567299,1st Ave. & International Blvd.,10,1E14,1ST E.14,,1ST E.14,Oakland,1st Ave. & International Blvd.,,,1st Ave. & International Blvd.,,,,1,1
3RD E15T,Oakland,3rd Ave. & E. 15th St.,22,3rd Ave. & E. 15th St.,0,"3rd Ave. & E. 15th St., Oakland","3rd Ave. & E. 15th St., Oakland",37.7979136,-122.2547202,3rd Ave. & E. 15th St.,10,3R15,3RD E15T,,3RD E15T,Oakland,3rd Ave. & E. 15th St.,,,,,,,1,1
LKSH BODN,Oakland,Lakeshore Ave. & Boden Way,26,Grand Lake District,0,"Lakeshore Ave. & Boden Way, Oakland",Grand Lake District,37.8073722,-122.2495969,Lakeshore Ave. & Boden Way,10,LKBO,LKSHBODN,,LKSH BODN,Oakland,Lakeshore Ave. & Boden Way,,,Lakeshore Ave. & Boden Way,Grand Lake District,,,1,
GRAN MACA,Oakland,Grand Ave. & MacArthur Blvd.,28,Grand Lake District,2,"Grand Ave. & MacArthur Blvd., Oakland",Grand Lake District,37.8099985,-122.2491353,Grand Ave. & MacArthur Blvd.,10,GRMA,GRANMACA,,GRAN MACA,Oakland,Grand Ave. & MacArthur Blvd.,,,Grand Ave. & MacArthur Blvd.,Grand Lake District,,,1,
LKSH LKPK,Oakland,Lakeshore Ave. & Lake Park Ave.,31,Grand Lake District,2,"Lakeshore Ave. & Lake Park Ave., Oakland",Grand Lake District,37.8102443,-122.2461530,Lakeshore Ave. & Lake Park Ave.,10,LKLK,LKSHLKPK,,LKSH LKPK,Oakland,Lakeshore Ave. & Lake Park Ave.,,,Lakeshore Ave. & Lake Park Ave.,Grand Lake District,,,1,
LKSH MACA,Oakland,Lakeshore Ave. & MacArthur Blvd.,32,Grand Lake District,2,"Lakeshore Ave. & MacArthur Blvd., Oakland",Grand Lake District,37.8094581,-122.2472992,Lakeshore Ave. & MacArthur Blvd.,10,LKMA,LKSHMACA,,LKSH MACA,Oakland,Lakeshore Ave. & MacArthur Blvd.,,,Lakeshore Ave. & MacArthur Blvd.,Grand Lake District,,,1,
TRES LKSH,Oakland,Trestle Glen Road & Lakeshore Ave.,34,Trestle Glen,1,"Trestle Glen Road & Lakeshore Ave., Oakland",Trestle Glen,37.8106839,-122.2427640,Trestle Glen Road & Lakeshore Ave.,10,TRLK,TRESLKSH,,TRES LKSH,Oakland,Trestle Glen Road & Lakeshore Ave.,,,Trestle Glen Road & Lakeshore Ave.,Trestle Glen,,,1,
GRAN ML.K,Oakland,West Grand Ave. & Martin Luther King Jr. Way,44,West Grand Ave. & Martin Luther King Jr. Way,0,"West Grand Ave. & Martin Luther King Jr. Way, Oakland","West Grand Ave. & Martin Luther King Jr. Way, Oakland",37.8125252,-122.2727575,West Grand Ave. & Martin Luther King Jr.,10,GMML,GRANML.K,,GRAN ML.K,Oakland,West Grand Ave. & Martin Luther King Jr.,,,West Grand Ave. & Martin Luther King Jr. Way,,,,1,1
GRAN S.P.,Oakland,West Grand Ave. & San Pablo Ave.,32,West Grand Ave. & San Pablo Ave.,0,"West Grand Ave. & San Pablo Ave., Oakland","West Grand Ave. & San Pablo Ave., Oakland",37.8126469,-122.2734321,West Grand Ave. & San Pablo Ave.,10,GSSP,GRANS.P.,,GRAN S.P.,Oakland,West Grand Ave. & San Pablo Ave.,,,West Grand Ave. & San Pablo Ave.,,,,1,1
MKT. 18TH,Oakland,Market St. & 18th St.,21,Market St. & 18th St.,0,"Market St. & 18th St., Oakland","Market St. & 18th St., Oakland",37.8110636,-122.2795259,Market St. & 18th St.,10,MK18,MKT.18TH,,MKT. 18TH,Oakland,Market St. & 18th St.,,,,,,,1,1
MACL H.S.,Oakland,McClymonds High School,22,McClymonds High School,0,"McClymonds High School, Oakland","McClymonds High School, Oakland",37.8176592,-122.2776215,McClymonds High School,10,MK26,MACLH.S.,,MACL H.S.,Oakland,McClymonds High School,,,McClymonds High School,,,,1,1
MARK GRND,Oakland,Market St. & West Grand Ave.,28,Market St. & West Grand Ave.,2,"Market St. & West Grand Ave., Oakland","Market St. & West Grand Ave., Oakland",37.8142868,-122.2785361,Market St. & West Grand Ave.,10,MKGR,MARKGRND,,MARK GRND,Oakland,Market St. & West Grand Ave.,,,Market St. & West Grand Ave.,,,,1,1
30TH SUMT,Oakland,30th St. & Summit St.,21,Summit Hospital,0,"30th St. & Summit St., Oakland",Summit Hospital,37.8190110,-122.2646540,30th St. & Summit St.,10,30SU,30THSUMT,,30TH SUMT,Oakland,30th St. & Summit St.,,,,Summit Hospital,,,1,
BDWY 27TH,Oakland,Broadway & 27th St.,19,Broadway & 27th St.,1,"Broadway & 27th St., Oakland","Broadway & 27th St., Oakland",37.8151949,-122.2644244,Broadway & 27th St.,10,BD27,BDWY27TH,,BDWY 27TH,Oakland,Broadway & 27th St.,,,Broadway & 27th St.,,,,1,1
GRAN BDWY,Oakland,Grand Ave. & Broadway,21,Grand Ave. & Broadway,0,"Grand Ave. & Broadway, Oakland","Grand Ave. & Broadway, Oakland",37.8112623,-122.2668145,Grand Ave. & Broadway,10,GBBD,GRANBDWY,,GRAN BDWY,Oakland,Grand Ave. & Broadway,,,,,,,1,1
GRAN TELE,Oakland,West Grand Ave. & Telegraph Ave.,32,West Grand Ave. & Telegraph Ave.,0,"West Grand Ave. & Telegraph Ave., Oakland","West Grand Ave. & Telegraph Ave., Oakland",37.8115927,-122.2689513,West Grand Ave. & Telegraph Ave.,10,GRTE,GRANTELE,,GRAN TELE,Oakland,West Grand Ave. & Telegraph Ave.,,,West Grand Ave. & Telegraph Ave.,,,,1,1
GRAN WEBS,Oakland,Grand Ave. & Webster St.,24,Grand Avenue,1,"Grand Ave. & Webster St., Oakland","Grand Avenue, Oakland",37.8113976,-122.2656576,Grand Ave. & Webster St.,10,GRWB,GRANWEBS,,GRAN WEBS,Oakland,Grand Ave. & Webster St.,,,,Grand Avenue,,,1,1
45TH S.P.,Emeryville,45th St. & San Pablo Ave.,25,45th St. & San Pablo Ave.,2,"45th St. & San Pablo Ave., Emeryville","45th St. & San Pablo Ave., Emeryville",37.8341595,-122.2808898,45th St. & San Pablo Ave.,06,45SP,45THS.P.,,45TH S.P.,Emeryville,45th St. & San Pablo Ave.,,,45th St. & San Pablo Ave.,,,,1,1
40TH MKT.,Oakland,40th St. & Market St.,21,40th St. & Market St.,2,"40th St. & Market St., Oakland","40th St. & Market St., Oakland",37.8306267,-122.2738217,40th St. & Market St.,10,4KMK,40THMKT.,,40TH MKT.,Oakland,40th St. & Market St.,,,,,,,1,1
40TH S.P.,Emeryville,40th St. & San Pablo Ave.,25,40th St. & San Pablo Ave.,2,"40th St. & San Pablo Ave., Emeryville","40th St. & San Pablo Ave., Emeryville",37.8311949,-122.2791980,40th St. & San Pablo Ave.,06,4SSP,40THS.P.,,40TH S.P.,Emeryville,40th St. & San Pablo Ave.,,,,,,,1,1
40TH TELE,Oakland,40th St. & Telegraph Ave.,25,40th St. & Telegraph Ave.,2,"40th St. & Telegraph Ave., Oakland","40th St. & Telegraph Ave., Oakland",37.8294939,-122.2643611,40th St. & Telegraph Ave.,10,40TE,40THTELE,,40TH TELE,Oakland,40th St. & Telegraph Ave.,,,,,,,1,1
40TH ML.K,Oakland,40th St. & Martin Luther King Jr. Way,37,40th St. & Martin Luther King Jr. Way,2,"40th St. & Martin Luther King Jr. Way, Oakland","40th St. & Martin Luther King Jr. Way, Oakland",37.8297549,-122.2682563,40th St. & Martin Luther King Jr. Way,10,4MML,40THML.K,,40TH ML.K,Oakland,40th St. & Martin Luther King Jr. Way,,,40th St. & Martin Luther King Jr. Way,,,,1,1
CHLD HOSP,Oakland,"UCSF Benioff Children’s Hospital Oakland",40,"UCSF Benioff Children’s Hospital Oakland",0,"UCSF Benioff Children’s Hospital Oakland","UCSF Benioff Children’s Hospital Oakland",37.8373093,-122.2688813,"UCSF Benioff Children’s Hospital Oakland",10,CHHO,CHLDHOSP,,CHLD HOSP,Oakland,"UCSF Benioff Children’s Hospital Oakland",,,"UCSF Benioff Children’s Hospital Oakland",,,,,0
MACA BART,Oakland,MacArthur BART,14,MacArthur BART,2,"MacArthur BART, Oakland","MacArthur BART, Oakland",37.8294090,-122.2664078,MacArthur BART,10,MABA,MACABART,,MACA BART,Oakland,MacArthur BART,,,MacArthur BART,,,,1,1
HARR MACA,Oakland,Harrison St. & MacArthur Blvd.,30,Harrison St. & MacArthur Blvd.,2,"Harrison St. & MacArthur Blvd., Oakland","Harrison St. & MacArthur Blvd., Oakland",37.8198015,-122.2540584,Harrison St. & MacArthur Blvd.,10,HAMA,HARRMACA,,HARR MACA,Oakland,Harrison St. & MacArthur Blvd.,,,Harrison St. & MacArthur Blvd.,,,,1,1
OAKL MACA,Oakland,Oakland Ave. & MacArthur Blvd.,30,Oakland Ave. & MacArthur Blvd.,2,"Oakland Ave. & MacArthur Blvd., Oakland","Oakland Ave. & MacArthur Blvd., Oakland",37.8189124,-122.2535973,Oakland Ave. & MacArthur Blvd.,10,OAMA,OAKLMACA,,OAKL MACA,Oakland,Oakland Ave. & MacArthur Blvd.,,,Oakland Ave. & MacArthur Blvd.,,,,1,1
WEST JRHS,Oakland,Westlake Middle School,22,Westlake Middle School,2,"Westlake Middle School, Oakland","Westlake Middle School, Oakland",37.8143860,-122.2600321,Westlake Middle School,10,WJHS,WESTJRHS,,WEST JRHS,Oakland,Westlake Middle School,,,Westlake Middle School,,,,1,1
41ST PIED,Oakland,41st St. & Piedmont Ave.,24,41st St. & Piedmont Ave.,1,"41st St. & Piedmont Ave., Oakland","41st St. & Piedmont Ave., Oakland",37.8264729,-122.2527842,41st St. & Piedmont Ave.,10,41PD,41STPIED,,41ST PIED,Oakland,41st St. & Piedmont Ave.,,,,,,,1,1
40TH BDWY,Oakland,40th St. & Broadway,19,40th St. & Broadway,2,"40th St. & Broadway, Oakland","40th St. & Broadway, Oakland",37.8275194,-122.2570128,40th St. & Broadway,10,4BBD,40THBDWY,,40TH BDWY,Oakland,40th St. & Broadway,,,,,,,1,1
MACA BDWY,Oakland,MacArthur Blvd. & Broadway,26,MacArthur Blvd. & Broadway,2,"MacArthur Blvd. & Broadway, Oakland","MacArthur Blvd. & Broadway, Oakland",37.8240074,-122.2585328,MacArthur Blvd. & Broadway,10,MABD,MACABDWY,,MACA BDWY,Oakland,MacArthur Blvd. & Broadway,,,MacArthur Blvd. & Broadway,,,,1,1
PIED LIND,Oakland,Piedmont Ave. & Linda Ave.,26,Piedmont Ave. & Linda Ave.,2,"Piedmont Ave. & Linda Ave., Oakland","Piedmont Ave. & Linda Ave., Oakland",37.8274155,-122.2509898,Piedmont Ave. & Linda Ave.,10,PILI,PIEDLIND,,PIED LIND,Oakland,Piedmont Ave. & Linda Ave.,,,,,,,1,1
PIED MACA,Oakland,Piedmont Ave. & MacArthur Blvd.,31,Piedmont Ave. & MacArthur Blvd.,0,"Piedmont Ave. & MacArthur Blvd., Oakland","Piedmont Ave. & MacArthur Blvd., Oakland",37.8232592,-122.2566313,Piedmont Ave. & MacArthur Blvd.,10,PMAC,PIEDMACA,,PIED MACA,Oakland,Piedmont Ave. & MacArthur Blvd.,,,Piedmont Ave. & MacArthur Blvd.,,,,1,1
GRAN OAKL,Piedmont,Grand Ave. & Oakland Ave.,25,Grand Ave. & Oakland Ave.,2,"Grand Ave. & Oakland Ave., Piedmont","Grand Ave. & Oakland Ave., Piedmont",37.8226507,-122.2437991,Grand Ave. & Oakland Ave.,11,GROA,GRANOAKL,,GRAN OAKL,Piedmont,Grand Ave. & Oakland Ave.,,,,,,,1,1
LAKE GRAD,Oakland,Lake Park Ave. & Grand Ave.,27,Grand Lake District,2,Lake Park Ave. & Grand Ave.,Grand Lake District,37.8113956,-122.2476930,Lake Park Ave. & Grand Ave.,10,LKGR,LAKEGRAD,,LAKE GRAD,Oakland,Lake Park Ave. & Grand Ave.,,,Lake Park Ave. & Grand Ave.,Grand Lake District,,,,
LKSH LONG,Oakland,Lakeshore Ave. & Longridge Blvd.,32,Trestle Glen,1,"Lakeshore Ave. & Longridge Blvd., Oakland",Trestle Glen,37.8110130,-122.2424303,Lakeshore Ave. & Longridge Blvd.,10,LKLO,LKSHLONG,,LKSH LONG,Oakland,Lakeshore Ave. & Longridge Blvd.,,,Lakeshore Ave. & Longridge Blvd.,Trestle Glen,,,1,
MAND LKSH,Oakland,Mandana Blvd. & Lakeshore Ave.,30,Mandana Blvd. & Lakeshore Ave.,2,"Mandana Blvd. & Lakeshore Ave., Oakland","Mandana Blvd. & Lakeshore Ave., Oakland",37.8114850,-122.2421276,Mandana Blvd. & Lakeshore Ave.,10,MBLS,MANDLKSH,,MAND LKSH,Oakland,Mandana Blvd. & Lakeshore Ave.,,,,,,,1,1
42ND BDWY,Oakland,42nd St. & Broadway,19,Oakland Technical High School,2,"42nd St. & Broadway, Oakland",Oakland Technical High School,37.8314431,-122.2542752,42nd St. & Broadway,10,42BD,42NDBDWY,,42ND BDWY,Oakland,42nd St. & Broadway,,,,Oakland Technical High School,,,1,
COLL BDWY,Oakland,College Ave. & Broadway,23,College Ave. & Broadway,2,"College Ave. & Broadway, Oakland","College Ave. & Broadway, Oakland",37.8367018,-122.2511498,College Ave. & Broadway,10,COBD,COLLBDWY,,COLL BDWY,Oakland,College Ave. & Broadway,,,,,,,1,1
PLEA BDWY,Oakland,Pleasant Valley Ave. & Broadway,31,Pleasant Valley Ave. & Broadway,2,"Pleasant Valley Ave. & Broadway, Oakland","Pleasant Valley Ave. & Broadway, Oakland",37.8348346,-122.2529935,Pleasant Valley Ave. & Broadway,10,PLBD,PLEABDWY,,PLEA BDWY,Oakland,Pleasant Valley Ave. & Broadway,,,Pleasant Valley Ave. & Broadway,,,,1,1
TECH SRHS,Oakland,Oakland Technical High School,29,Oakland Technical High School,2,Oakland Technical High School,Oakland Technical High School,37.8330548,-122.2531035,Oakland Technical High School,10,TCSR,TECHSRHS,,TECH SRHS,Oakland,Oakland Technical High School,,,Oakland Technical High School,,,,,0
CLMT HUDS,Oakland,Claremont Ave. & Hudson St.,27,Claremont Ave. & Hudson St.,2,"Claremont Ave. & Hudson St., Oakland","Claremont Ave. & Hudson St., Oakland",37.8431068,-122.2573847,Claremont Ave. & Hudson St.,10,CLHU,CLMTHUDS,,CLMT HUDS,Oakland,Claremont Ave. & Hudson St.,,,Claremont Ave. & Hudson St.,,,,1,1
CLAR MDDL,Oakland,Claremont Middle School,23,Claremont Middle School,0,"Claremont Middle School, Oakland","Claremont Middle School, Oakland",37.8453099,-122.2518674,Claremont Middle School,10,CLMD,CLARMDDL,,CLAR MDDL,Oakland,Claremont Middle School,,,,,,,1,1
ROBA CLMD,Oakland,Rockridge BART (Claremont Middle School),40,Rockridge BART,2,Rockridge BART (Claremont Middle School),Rockridge BART,37.8456035,-122.2519074,Rockridge BART (Claremont Middle School),10,RBCM,ROBACLMD,,ROBA CLMD,Oakland,Rockridge BART (Claremont Middle School),,,Rockridge BART (Claremont Middle School),Rockridge BART,,,,
ROCK BART,Oakland,Rockridge BART,14,Rockridge BART,2,"Rockridge BART, Oakland","Rockridge BART, Oakland",37.8444965,-122.2517504,Rockridge BART,10,ROBA,ROCKBART,,ROCK BART,Oakland,Rockridge BART,,,Rockridge BART,,,,1,1
BDWY BDTR,Oakland,Broadway & Broadway Terr.,25,Broadway & Broadway Terr.,0,"Broadway & Broadway Terr., Oakland","Broadway & Broadway Terr., Oakland",37.8371333,-122.2507151,Broadway & Broadway Terr.,10,BDBD,BDWYBDTR,,BDWY BDTR,Oakland,Broadway & Broadway Terr.,,,,,,,1,1
BDWY MANI,Oakland,Broadway & Manila Ave.,22,Broadway & Manila Ave.,0,"Broadway & Manila Ave., Oakland","Broadway & Manila Ave., Oakland",37.8397994,-122.2491753,Broadway & Manila Ave.,10,BDMA,BDWYMANI,,BDWY MANI,Oakland,Broadway & Manila Ave.,,,,,,,1,1
MORG RAMO,Oakland,Moraga Ave. & Ramona Ave.,25,Moraga Ave. & Ramona Ave.,1,"Moraga Ave. & Ramona Ave., Oakland","Moraga Ave. & Ramona Ave., Oakland",37.8300193,-122.2428032,Moraga Ave. & Ramona Ave.,10,MORA,MORGRAMO,,MORG RAMO,Oakland,Moraga Ave. & Ramona Ave.,,,,,,,1,1
23RD E.14,Oakland,23rd Ave. & International Blvd.,31,23rd Ave. & International Blvd.,2,"23rd Ave. & International Blvd., Oakland","23rd Ave. & International Blvd., Oakland",37.7834052,-122.2359405,23rd Ave. & International Blvd.,10,2314,23RDE.14,,23RD E.14,Oakland,23rd Ave. & International Blvd.,,,23rd Ave. & International Blvd.,,,,1,1
23RD E.21,Oakland,23rd Ave. & E. 21st St.,23,23rd Ave. & E. 21st St.,2,"23rd Ave. & E. 21st St., Oakland","23rd Ave. & E. 21st St., Oakland",37.7888853,-122.2314981,23rd Ave. & E. 21st St.,10,2321,23RDE.21,,23RD E.21,Oakland,23rd Ave. & E. 21st St.,,,23rd Ave. & E. 21st St.,,,,1,1
23RD FTHL,Oakland,23rd Ave. & Foothill Blvd.,26,23rd Ave. & Foothill Blvd.,0,"23rd Ave. & Foothill Blvd., Oakland","23rd Ave. & Foothill Blvd., Oakland",37.7851732,-122.2343242,23rd Ave. & Foothill Blvd.,10,23FT,23RDFTHL,,23RD FTHL,Oakland,23rd Ave. & Foothill Blvd.,,,,,,,1,1
35TH E.14,Oakland,35th Ave. & International Blvd.,31,35th Ave. & International Blvd.,2,"35th Ave. & International Blvd., Oakland","35th Ave. & International Blvd., Oakland",37.7765763,-122.2226091,35th Ave. & International Blvd.,10,3514,35THE.14,,35TH E.14,Oakland,35th Ave. & International Blvd.,,,35th Ave. & International Blvd.,,,,1,1
35TH FTHL,Oakland,35th Ave. & Foothill Blvd.,26,35th Ave. & Foothill Blvd.,2,"35th Ave. & Foothill Blvd., Oakland","35th Ave. & Foothill Blvd., Oakland",37.7820628,-122.2190683,35th Ave. & Foothill Blvd.,10,35FT,35THFTHL,,35TH FTHL,Oakland,35th Ave. & Foothill Blvd.,,,,,,,1,1
